"","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude"
"10838","Windsor","77 Raleigh St",3,"h",1910000,"S","Marshall","28/08/2016",5.1,3181,3,3,1,143,89,1890,"Stonnington",-37.8525,144.9881
"10839","Yallambie","27 Aminya Cr",3,"h",665000,"S","Darren","3/09/2016",15,3085,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"10840","Yallambie","11 Tarcoola Dr",4,"h",700000,"S","Barry","3/09/2016",15,3085,4,1,1,530,146.861538586252,1970,"Banyule",-37.7251,145.1053
"10841","Yallambie","8 Ovata Cl",4,"h",915000,"S","Barry","4/03/2017",15,3085,4,3,1,531,237,1990,"Banyule",-37.7198,145.1034
"10842","Yallambie","40 Allima Av",4,"h",760000,"S","Buckingham","7/05/2016",15,3085,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"10843","Yallambie","16 Lowan Av",3,"h",715000,"S","Buckingham","7/11/2016",15,3085,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"10844","Yallambie","4 Aminya Cr",3,"h",710000,"PI","Nelson","10/12/2016",15,3085,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"10845","Yallambie","70 Tarcoola Dr",3,"h",810000,"S","Buckingham","10/12/2016",15,3085,3,2,2,568,173,1975,"Banyule",-37.7216,145.1066
"10846","Yallambie","267 Yallambie Rd",3,"h",753000,"S","Barry","11/02/2017",15,3085,3,2,1,536,154,1975,"Banyule",-37.7233,145.1045
"10848","Yallambie","340 Yallambie Rd",3,"h",602500,"S","Ray","13/08/2016",15,3085,3,2,2,586,140,1970,"Banyule",-37.7279,145.1017
"10849","Yallambie","4 Coleen St",3,"h",742000,"S","Barry","15/10/2016",15,3085,3,1,1,614,117,1978,"Banyule",-37.7305,145.081
"10850","Yallambie","36 Longacres Rd",4,"h",953000,"S","Fletchers","15/10/2016",15,3085,4,2,2,551,150,1997,"Banyule",-37.7302,145.0883
"10851","Yallambie","5 Kurdian Ct",4,"h",840000,"S","Barry","16/07/2016",15,3085,4,2,2,761,146.861538586252,1970,"Banyule",-37.7218,145.108
"10852","Yallambie","2 Debra Ct",3,"h",650000,"S","hockingstuart","17/09/2016",15,3085,3,1,1,706,129,1970,"Banyule",-37.731,145.0811
"10854","Yallambie","342 Yallambie Rd",4,"h",793000,"S","Barry","18/03/2017",15,3085,4,2,1,592,146.861538586252,1970,"Banyule",-37.728,145.1017
"10855","Yallambie","4 Melliodora Pl",3,"h",731000,"S","hockingstuart","18/06/2016",15,3085,3,2,2,566,156,1991,"Banyule",-37.7195,145.1034
"10856","Yallambie","21 Bimbadeen Cr",3,"h",758000,"S","Buckingham","19/11/2016",15,3085,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"10857","Yallambie","5 Crew St",3,"h",710000,"S","Miles","19/11/2016",15,3085,3,1,1,616,115,1960,"Banyule",-37.7306,145.0854
"10858","Yallambie","38 Allima Av",3,"h",788000,"S","Barry","22/05/2016",15,3085,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"10859","Yallambie","23 Cascades Vw",3,"h",670000,"VB","Darren","22/08/2016",15,3085,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"10861","Yallambie","252 Yallambie Rd",3,"h",720000,"S","Buckingham","24/09/2016",15,3085,4,2,4,535,146.861538586252,1970,"Banyule",-37.7225,145.1037
"10862","Yallambie","5 Binalong Ct",3,"h",720000,"S","Barry","25/02/2017",15,3085,3,2,2,555,146.861538586252,1978,"Banyule",-37.7214,145.1034
"10863","Yallambie","27 Ovata Cl",3,"h",936000,"S","Buckingham","26/07/2016",15,3085,3,2,2,587,232,1994,"Banyule",-37.72,145.1014
"10864","Yallambie","33 Fahey Cr",3,"h",710000,"S","Fletchers","27/11/2016",15,3085,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"10865","Yallambie","17 Marigolds Rd",3,"h",800000,"S","Darren","27/11/2016",15,3085,3,2,2,660,146.861538586252,1970,"Banyule",-37.7285,145.0845
"10866","Yallambie","5 Amanda Ct",3,"h",721000,"S","Barry","28/08/2016",15,3085,3,1,1,687,122,1978,"Banyule",-37.7303,145.0823
"10868","Yarraville","13 Benbow St",3,"h",1000000,"S","Jas","3/09/2016",7,3013,3,2,1,448,147,1940,"Maribyrnong",-37.8228,144.8799
"10869","Yarraville","2/5 Jepson St",2,"u",640000,"PI","hockingstuart","3/09/2016",7,3013,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"10870","Yarraville","6 Sanderson St",2,"h",890000,"SP","Village","3/09/2016",7,3013,3,1,2,471,103,1950,"Maribyrnong",-37.8149,144.8707
"10871","Yarraville","40 Tarrengower St",2,"h",760000,"SP","Jas","3/09/2016",7,3013,2,1,1,134,146.861538586252,1970,"Maribyrnong",-37.8176,144.8911
"10874","Yarraville","4 Finlay St",4,"h",1550000,"S","Village","3/12/2016",7,3013,4,2,2,427,233,2010,"Maribyrnong",-37.8187,144.8771
"10875","Yarraville","7/87 Gamon St",3,"h",770000,"VB","Jas","3/12/2016",7,3013,3,1,2,323,139,1960,"Maribyrnong",-37.8108,144.8899
"10876","Yarraville","160 Hyde St",3,"h",871000,"S","Jas","3/12/2016",7,3013,3,2,2,428,100,1965,"Maribyrnong",-37.8167,144.8965
"10877","Yarraville","1/194 Hyde St",3,"h",780000,"S","Village","3/12/2016",7,3013,3,2,2,213,120,2004,"Maribyrnong",-37.8175,144.8964
"10879","Yarraville","41 Sussex St",3,"h",770000,"SP","Jas","3/12/2016",7,3013,2,1,1,138,82,1890,"Maribyrnong",-37.82,144.891
"10880","Yarraville","147 Williamstown Rd",3,"h",851000,"S","Jas","3/12/2016",7,3013,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"10882","Yarraville","60 Adeney St",3,"h",960000,"S","Sweeney","4/03/2017",7,3013,3,1,1,503,146.861538586252,1970,"Maribyrnong",-37.8159,144.8626
"10883","Yarraville","76 Bishop St",4,"h",1235000,"SP","Jas","4/03/2017",7,3013,4,2,2,244,206,2011,"Maribyrnong",-37.8139,144.8741
"10884","Yarraville","16A Gordon Pde",3,"t",670000,"PI","Jas","4/03/2017",7,3013,3,2,2,152,146.861538586252,1970,"Maribyrnong",-37.8228,144.8833
"10885","Yarraville","1/11 Goulburn St",2,"h",960000,"S","Village","4/03/2017",7,3013,2,2,1,159,146.861538586252,1970,"Maribyrnong",-37.8154,144.8917
"10886","Yarraville","5 Hood St",2,"h",1000000,"VB","Village","4/03/2017",7,3013,2,1,1,220,105,1910,"Maribyrnong",-37.8115,144.8875
"10888","Yarraville","109 Powell St",3,"h",1320000,"S","Jas","4/03/2017",7,3013,3,2,2,473,171,1920,"Maribyrnong",-37.8217,144.8842
"10891","Yarraville","34 Wilkins St",3,"h",931000,"S","Douglas","4/03/2017",7,3013,3,1,1,442,146.861538586252,1970,"Maribyrnong",-37.8182,144.8727
"10892","Yarraville","6 Clarendon St",3,"h",910000,"S","Village","4/06/2016",7,3013,3,3,2,197,109,2013,"Maribyrnong",-37.8197,144.8875
"10893","Yarraville","1a Court St",2,"h",796000,"SP","Jas","4/06/2016",7,3013,2,1,1,188,146.861538586252,1970,"Maribyrnong",-37.8184,144.8809
"10895","Yarraville","40 Freeman St",3,"h",670000,"VB","Village","4/06/2016",7,3013,3,1,1,477,120,1960,"Maribyrnong",-37.8186,144.8736
"10898","Yarraville","101 Roberts St",3,"h",1050000,"S","hockingstuart","4/06/2016",7,3013,2,2,1,462,132,1960,"Maribyrnong",-37.8128,144.8695
"10902","Yarraville","31 Frederick St",4,"h",1320000,"SP","Village","7/05/2016",7,3013,4,2,1,319,171,1915,"Maribyrnong",-37.8197,144.8957
"10904","Yarraville","8/230 Williamstown Rd",2,"t",482500,"SP","Sweeney","7/05/2016",7,3013,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"10907","Yarraville","27 Regent St",3,"h",1414000,"S","Jas","7/11/2016",7,3013,3,2,2,230,146.861538586252,1900,"Maribyrnong",-37.8124,144.8875
"10909","Yarraville","2/8 Hughes St",2,"h",630000,"PI","Jas","8/10/2016",7,3013,2,1,1,148,79,2003,"Maribyrnong",-37.822,144.89
"10911","Yarraville","50 Tongue St",4,"h",1870000,"S","Sweeney","8/10/2016",7,3013,4,1,3,766,167,1968,"Maribyrnong",-37.8126,144.8905
"10912","Yarraville","60 Hamilton St",4,"h",1785000,"S","Village","10/09/2016",7,3013,4,2,2,640,146.861538586252,1970,"Maribyrnong",-37.8104,144.8867
"10916","Yarraville","44 Severn St",3,"h",1930000,"S","Jas","10/12/2016",7,3013,3,1,4,902,129,1920,"Maribyrnong",-37.8153,144.8796
"10919","Yarraville","18 Free St",3,"h",1035000,"S","Jas","11/02/2017",7,3013,3,1,2,289,146.861538586252,1970,"Maribyrnong",-37.8143,144.8865
"10923","Yarraville","52 Goulburn St",3,"h",1419000,"SP","Jas","12/11/2016",7,3013,3,1,2,270,146.861538586252,1920,"Maribyrnong",-37.8148,144.8884
"10924","Yarraville","63 Hawkhurst St",3,"h",1050000,"S","Village","12/11/2016",7,3013,3,1,2,442,146.861538586252,1940,"Maribyrnong",-37.8201,144.872
"10926","Yarraville","280 Francis St",3,"h",850000,"S","Jas","13/08/2016",7,3013,3,1,1,444,146.861538586252,1970,"Maribyrnong",-37.8193,144.8753
"10928","Yarraville","2/255 Wlliamstown Rd",2,"u",550000,"SP","Hunter","13/08/2016",7,3013,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"10932","Yarraville","9 Stanger St",3,"h",796000,"S","Greg","14/05/2016",7,3013,3,1,1,464,120,1960,"Maribyrnong",-37.8151,144.8638
"10933","Yarraville","203/109 Anderson St",2,"u",666300,"SP","Jas","15/10/2016",7,3013,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"10934","Yarraville","27 Buninyong St",3,"h",1217500,"PI","Greg","15/10/2016",7,3013,3,3,1,217,146.861538586252,2016,"Maribyrnong",-37.8188,144.8884
"10937","Yarraville","64 Bishop St",3,"h",1055000,"S","hockingstuart","16/04/2016",7,3013,3,1,3,670,116,1940,"Maribyrnong",-37.8134,144.8745
"10939","Yarraville","117 Francis St",4,"h",660000,"PI","Sweeney","16/04/2016",7,3013,4,1,2,360,146.861538586252,1910,"Maribyrnong",-37.8212,144.8887
"10940","Yarraville","342 Francis St",3,"h",681000,"S","Sweeney","16/04/2016",7,3013,2,1,1,446,146.861538586252,1970,"Maribyrnong",-37.8183,144.8666
"10942","Yarraville","3/1 Jepson St",2,"t",705000,"SP","Sweeney","16/04/2016",7,3013,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"10944","Yarraville","9 Pearce St",3,"h",955000,"S","Jellis","16/04/2016",7,3013,3,1,1,202,146.861538586252,1970,"Maribyrnong",-37.8196,144.8839
"10945","Yarraville","11 Sanderson St",2,"h",822000,"S","Sweeney","16/04/2016",7,3013,2,1,3,539,146.861538586252,1970,"Maribyrnong",-37.8152,144.8703
"10947","Yarraville","71 Bena St",2,"h",760000,"S","Jas","16/07/2016",7,3013,3,1,1,472,146.861538586252,1970,"Maribyrnong",-37.824,144.8805
"10948","Yarraville","29 Frederick St",4,"h",1200000,"S","Village","16/07/2016",7,3013,4,2,2,417,157,1900,"Maribyrnong",-37.8197,144.8969
"10950","Yarraville","59 Gent St",3,"h",1005000,"S","Sweeney","16/07/2016",7,3013,3,1,1,438,115,1960,"Maribyrnong",-37.8177,144.8711
"10953","Yarraville","17 Banool Av",3,"h",876000,"S","Sweeney","17/09/2016",7,3013,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"10954","Yarraville","136 Hyde St",4,"h",1150000,"S","hockingstuart","17/09/2016",7,3013,4,2,2,482,146.861538586252,1970,"Maribyrnong",-37.815,144.8968
"10956","Yarraville","14 Lennox St",3,"h",1020000,"PI","Jas","18/03/2017",7,3013,3,1,1,248,146.861538586252,1970,"Maribyrnong",-37.8157,144.8925
"10957","Yarraville","55 Ofarrell St",3,"h",1250000,"VB","Village","18/03/2017",7,3013,3,2,1,249,146.861538586252,1970,"Maribyrnong",-37.8099,144.8859
"10962","Yarraville","52 Severn St",3,"h",865000,"SP","Jas","18/06/2016",7,3013,3,1,1,189,87,1930,"Maribyrnong",-37.8159,144.8795
"10963","Yarraville","347 Williamstown Rd",3,"h",781500,"S","Jas","18/06/2016",7,3013,2,1,2,341,132,1950,"Maribyrnong",-37.8224,144.8818
"10964","Yarraville","15 Ofarrell St",4,"h",1401000,"S","Village","19/11/2016",7,3013,4,1,1,306,133,1910,"Maribyrnong",-37.8102,144.8885
"10965","Yarraville","2/382 Williamstown Rd",2,"h",630000,"S","Jas","19/11/2016",7,3013,2,2,2,168,121,2000,"Maribyrnong",-37.8225,144.8814
"10969","Yarraville","198 Francis St",4,"h",925000,"S","hockingstuart","22/08/2016",7,3013,4,1,1,288,146.861538586252,1970,"Maribyrnong",-37.8202,144.883
"10970","Yarraville","3/5 Jepson St",2,"u",676000,"SP","hockingstuart","22/08/2016",7,3013,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"10971","Yarraville","18 Frederick St",3,"h",745000,"S","hockingstuart","23/04/2016",7,3013,2,1,1,325,146.861538586252,1970,"Maribyrnong",-37.8195,144.8973
"10972","Yarraville","2 Hood St",4,"h",1158000,"S","Jas","23/04/2016",7,3013,4,1,3,411,96,1910,"Maribyrnong",-37.8117,144.8873
"10973","Yarraville","51 Sussex St",3,"h",867000,"S","RT","23/04/2016",7,3013,3,1,1,195,146.861538586252,1970,"Maribyrnong",-37.8198,144.8904
"10974","Yarraville","9/11 Berry St",3,"h",955000,"S","Village","24/09/2016",7,3013,3,2,2,206,173,2006,"Maribyrnong",-37.8127,144.8965
"10975","Yarraville","3 Freame St",3,"h",1081000,"SP","Village","24/09/2016",7,3013,3,1,1,448,104,1940,"Maribyrnong",-37.8171,144.8753
"10979","Yarraville","42 Eirene St",2,"h",951000,"S","Sweeney","25/02/2017",7,3013,2,1,3,486,146.861538586252,1970,"Maribyrnong",-37.8214,144.8796
"10980","Yarraville","14 Finlay St",4,"h",1028000,"S","Village","25/02/2017",7,3013,4,2,2,431,146.861538586252,1970,"Maribyrnong",-37.8186,144.8764
"10982","Yarraville","20 Grace St",3,"h",1450000,"S","Village","25/02/2017",7,3013,3,2,2,542,211,2016,"Maribyrnong",-37.811,144.8844
"10983","Yarraville","23 Lennox St",3,"h",1430000,"SP","Village","25/02/2017",7,3013,3,3,2,386,172,1940,"Maribyrnong",-37.816,144.8936
"10984","Yarraville","38 Simpson St",3,"h",1275000,"SP","Village","25/02/2017",7,3013,3,1,2,229,128,1910,"Maribyrnong",-37.8172,144.8919
"10985","Yarraville","122 Blackwood St",4,"h",1606000,"SP","Jas","26/07/2016",7,3013,4,2,3,455,178,1890,"Maribyrnong",-37.8177,144.8839
"10986","Yarraville","75 Ballard St",4,"h",970000,"PI","Village","27/06/2016",7,3013,3,1,2,664,146.861538586252,1960,"Maribyrnong",-37.8172,144.8676
"10987","Yarraville","7 Banool Av",3,"h",865000,"S","Village","27/06/2016",7,3013,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"10988","Yarraville","38 Benbow St",2,"h",780000,"S","Hunter","27/06/2016",7,3013,2,1,1,435,114,1950,"Maribyrnong",-37.8223,144.8779
"10990","Yarraville","76 Kidman St",3,"h",670000,"PI","Biggin","27/06/2016",7,3013,3,1,1,463,119,1950,"Maribyrnong",-37.8137,144.8636
"10992","Yarraville","23 Castlemaine St",3,"h",1380000,"S","Village","27/11/2016",7,3013,3,2,2,235,144,1910,"Maribyrnong",-37.815,144.8928
"10993","Yarraville","5 Highgate St",3,"h",966000,"S","JMRE","27/11/2016",7,3013,3,2,2,456,146.861538586252,1970,"Maribyrnong",-37.823,144.8768
"10997","Yarraville","18 Tenterden St",3,"h",845000,"S","Jas","27/11/2016",7,3013,3,1,2,494,146.861538586252,1970,"Maribyrnong",-37.8234,144.8742
"11000","Yarraville","4 Bena St",3,"h",980000,"S","Jas","28/05/2016",7,3013,3,1,2,463,146.861538586252,1970,"Maribyrnong",-37.8185,144.8812
"11001","Yarraville","16/11 Berry St",3,"t",800000,"VB","Jas","28/05/2016",7,3013,3,2,1,169,150,2007,"Maribyrnong",-37.8122,144.8965
"11003","Yarraville","30 Simpson St",3,"h",1460000,"SP","Village","28/05/2016",7,3013,3,1,2,463,119,1900,"Maribyrnong",-37.8172,144.8924
"11006","Yarraville","7 Hughes St",3,"h",840000,"S","Village","28/08/2016",7,3013,4,1,1,470,127,1970,"Maribyrnong",-37.822,144.8904
"11007","Yarraville","46 Kingston St",3,"h",900500,"S","Village","28/08/2016",7,3013,2,1,1,208,100,1970,"Maribyrnong",-37.8145,144.8804
"11008","Yarraville","14 Pearce St",2,"h",850000,"S","Chisholm","28/08/2016",7,3013,2,1,1,201,146.861538586252,1970,"Maribyrnong",-37.8196,144.8836
"11009","Yarraville","6/37 Stephen St",3,"h",940000,"S","Village","28/08/2016",7,3013,3,2,2,171,146,2007,"Maribyrnong",-37.8124,144.8957
"11012","Aberfeldie","40 Clifton St",4,"h",1646000,"S","Rendina","4/03/2017",9.1,3040,4,3,2,757,157,1950,"Moonee Valley",-37.7606,144.8909
"11015","Aberfeldie","8/257 Buckley St",2,"u",470000,"S","Brad","7/05/2016",9.1,3040,2,1,1,976,71,2000,"Moonee Valley",-37.7557,144.9037
"11016","Aberfeldie","26a Fawkner St",3,"h",760000,"SP","McDonald","7/11/2016",9.1,3040,3,1,1,321,146.861538586252,1940,"Moonee Valley",-37.757,144.896
"11017","Aberfeldie","21 May St",4,"h",1346000,"S","Nelson","8/10/2016",9.1,3040,2,2,2,559,204,1995,"Moonee Valley",-37.7614,144.8925
"11019","Aberfeldie","2/30 Caroline St",3,"t",935000,"SP","Nelson","10/09/2016",9.1,3040,3,2,2,217,149,2005,"Moonee Valley",-37.7591,144.8923
"11020","Aberfeldie","11a Muldowney St",3,"h",1175000,"PI","Barry","10/09/2016",9.1,3040,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"11021","Aberfeldie","1a Arthur St",3,"u",845000,"S","Nelson","10/12/2016",9.1,3040,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"11023","Aberfeldie","3/64 Brunel St",3,"u",1160000,"S","Nelson","11/02/2017",9.1,3040,3,2,1,309,146.861538586252,2007,"Moonee Valley",-37.7642,144.895
"11024","Aberfeldie","2 May St",4,"h",1150000,"PI","Nelson","11/02/2017",9.1,3040,4,2,2,578,35,2010,"Moonee Valley",-37.7614,144.8953
"11025","Aberfeldie","5 Aroona Ct",1,"h",1720000,"PI","Nelson","15/10/2016",9.1,3040,3,2,1,676,136,1965,"Moonee Valley",-37.7632,144.898
"11026","Aberfeldie","25 Beaver St",2,"h",1705000,"S","Nelson","15/10/2016",9.1,3040,2,1,2,809,131,1980,"Moonee Valley",-37.7587,144.9015
"11027","Aberfeldie","4 Brunel Ct",3,"h",1190000,"S","Barry","17/09/2016",9.1,3040,3,1,1,465,115,1950,"Moonee Valley",-37.7626,144.8954
"11028","Aberfeldie","2/7 Fawkner St",2,"u",380000,"VB","Brad","18/03/2017",9.1,3040,2,1,1,622,146.861538586252,1970,"Moonee Valley",-37.7557,144.8966
"11029","Aberfeldie","58 Waverley St",2,"h",840000,"VB","Brad","18/03/2017",9.1,3040,2,1,1,373,146.861538586252,1970,"Moonee Valley",-37.7604,144.9062
"11031","Aberfeldie","40 Allan St",3,"h",1860000,"S","Rendina","19/11/2016",9.1,3040,3,2,2,311,146.861538586252,1970,"Moonee Valley",-37.7603,144.8921
"11032","Aberfeldie","14 Knight St",3,"h",1195000,"S","Nelson","19/11/2016",9.1,3040,3,2,2,496,146.861538586252,1970,"Moonee Valley",-37.7559,144.8991
"11033","Aberfeldie","2 May St",4,"h",1200000,"VB","Nelson","19/11/2016",9.1,3040,4,2,2,578,35,2010,"Moonee Valley",-37.7614,144.8953
"11036","Aberfeldie","1 Chisholm St",3,"u",726000,"S","Barry","24/09/2016",9.1,3040,3,1,1,229,111,1996,"Moonee Valley",-37.7606,144.8973
"11037","Aberfeldie","99 Fawkner St",4,"h",1325000,"PI","Weda","25/02/2017",9.1,3040,4,2,2,674,146.861538586252,1970,"Moonee Valley",-37.7617,144.8956
"11038","Aberfeldie","11 Muldowney St",3,"t",1300000,"SP","Barry","25/02/2017",9.1,3040,3,3,1,593,205,2016,"Moonee Valley",-37.7584,144.8968
"11043","Aberfeldie","47 Clifton St",4,"h",1350000,"S","Nelson","28/05/2016",9.1,3040,3,2,2,1076,180,1960,"Moonee Valley",-37.7609,144.8905
"11046","Bellfield","20 Davidson St",3,"h",773000,"S","Nelson","6/08/2016",9.5,3081,3,1,2,626,93,1955,"Banyule",-37.752,145.0367
"11047","Bellfield","6 Carlyle Cr",2,"h",890000,"S","Barry","8/10/2016",9.5,3081,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"11048","Bellfield","40 Plunkett St",3,"h",885000,"S","Nelson","12/11/2016",9.5,3081,3,1,1,666,146.861538586252,1970,"Banyule",-37.7509,145.0423
"11049","Bellfield","8 Erica Ct",3,"h",770000,"S","Haughton","16/04/2016",9.5,3081,3,1,4,762,146.861538586252,1960,"Banyule",-37.7529,145.0406
"11051","Bellfield","58 Perkins Av",3,"h",676000,"S","Collins","18/03/2017",9.5,3081,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"11053","Bellfield","1 Wilkinson Cr",3,"h",785000,"S","Miles","19/11/2016",9.5,3081,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"11054","Bellfield","305 Bell St",3,"h",645000,"SP","Nelson","22/05/2016",9.5,3081,3,1,2,631,109,1950,"Banyule",-37.7506,145.043
"11055","Bellfield","12 Garrett Cr",2,"h",780000,"S","Miles","24/09/2016",9.5,3081,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"11056","Bellfield","2/2 Harrison St",3,"h",720000,"SP","McGrath","25/02/2017",9.5,3081,3,2,1,231,145,2012,"Banyule",-37.7527,145.0392
"11057","Bellfield","129 Liberty Pde",3,"h",625000,"PI","Nelson","28/05/2016",9.5,3081,3,1,2,609,93,1950,"Banyule",-37.7504,145.0335
"11060","Brunswick East","10 Harrison St",3,"h",1310000,"S","Nelson","3/12/2016",4.5,3057,3,1,2,456,144,1950,"Moreland",-37.7638,144.9804
"11061","Brunswick East","1 Nunan St",4,"h",856000,"S","Harrington","3/12/2016",4.5,3057,4,2,2,136,151,1997,"Moreland",-37.7601,144.9805
"11063","Brunswick East","114/22 Barkly St",1,"u",410000,"S","Jellis","4/03/2017",4.5,3057,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"11067","Brunswick East","87 Hickford St",3,"h",1350000,"SP","Jellis","4/03/2017",4.5,3057,3,1,2,407,146.861538586252,1970,"Moreland",-37.7663,144.9795
"11068","Brunswick East","6 Kingfisher Gdns",3,"t",940000,"S","Nelson","4/03/2017",4.5,3057,3,1,2,213,116,1995,"Moreland",-37.7643,144.9808
"11069","Brunswick East","256 Stewart St",3,"h",930000,"PI","Nelson","4/03/2017",4.5,3057,3,2,2,138,146.861538586252,1970,"Moreland",-37.7658,144.9823
"11070","Brunswick East","215 Weston St",3,"h",1495000,"S","Nelson","4/03/2017",4.5,3057,3,1,1,259,130,1920,"Moreland",-37.7762,144.9755
"11072","Brunswick East","55 King St",4,"h",1550000,"S","Woodards","4/06/2016",4.5,3057,4,2,2,470,191,1940,"Moreland",-37.7735,144.9833
"11073","Brunswick East","94 Barkly St",4,"h",1815000,"S","Nelson","6/08/2016",4.5,3057,4,1,1,233,204,1890,"Moreland",-37.7776,144.9727
"11074","Brunswick East","12 Bladen Av",2,"h",905500,"SP","Woodards","7/05/2016",4.5,3057,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"11075","Brunswick East","9 John St",4,"h",1625000,"S","Nelson","7/05/2016",4.5,3057,4,2,2,822,145,1890,"Moreland",-37.7749,144.9762
"11076","Brunswick East","21 Roberts St",3,"t",899000,"SP","Jellis","7/05/2016",4.5,3057,3,2,1,116,124,2007,"Moreland",-37.7667,144.9821
"11078","Brunswick East","3 Lomandra Wky",2,"t",665000,"SP","Jellis","7/11/2016",4.5,3057,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"11080","Brunswick East","201/218 Lygon St",2,"u",435000,"S","Jellis","8/10/2016",4.5,3057,2,1,1,197,55,2012,"Moreland",-37.7717,144.9719
"11082","Brunswick East","98 Barkly St",4,"h",1900000,"S","Jellis","10/09/2016",4.5,3057,4,2,1,227,146.861538586252,1970,"Moreland",-37.7776,144.9726
"11086","Brunswick East","308/69 Lygon St",2,"u",570000,"PI","Nelson","11/02/2017",4.5,3057,2,1,2,1188,146.861538586252,2012,"Moreland",-37.7769,144.9706
"11087","Brunswick East","18 Lowan St",4,"h",1290000,"S","Jellis","11/03/2017",4.5,3057,4,2,2,468,146.861538586252,1970,"Moreland",-37.7724,144.9829
"11093","Brunswick East","89a Hickford St",3,"h",1574000,"S","Woodards","16/04/2016",4.5,3057,3,3,2,336,207,2007,"Moreland",-37.7664,144.9797
"11096","Brunswick East","10 Jarvie St",2,"h",1024000,"S","Nelson","17/09/2016",4.5,3057,2,1,1,148,146.861538586252,1970,"Moreland",-37.7721,144.9724
"11097","Brunswick East","1/164 Nicholson St",2,"h",800000,"VB","Nelson","17/09/2016",4.5,3057,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"11098","Brunswick East","189 Glenlyon Rd",3,"h",1125000,"S","Collins","18/03/2017",4.5,3057,3,1,2,369,146.861538586252,1970,"Moreland",-37.7727,144.9736
"11099","Brunswick East","8/374 Lygon St",2,"u",430000,"SP","Ray","18/03/2017",4.5,3057,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"11100","Brunswick East","12 Lyndhurst Cr",4,"h",1900000,"S","Nelson","18/03/2017",4.5,3057,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"11105","Brunswick East","2/33 Linden St",3,"t",1050000,"PI","Jellis","19/11/2016",4.5,3057,3,3,2,87,151,1998,"Moreland",-37.7739,144.975
"11106","Brunswick East","7/55 Victoria St",2,"u",461000,"SP","Nelson","19/11/2016",4.5,3057,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"11107","Brunswick East","15 Ethel St",2,"h",957000,"S","Nelson","22/05/2016",4.5,3057,2,1,1,148,146.861538586252,1970,"Moreland",-37.7722,144.9751
"11108","Brunswick East","160 Glenlyon Rd",3,"h",825000,"PI","Nelson","22/05/2016",4.5,3057,3,1,1,213,116,1920,"Moreland",-37.7729,144.9724
"11109","Brunswick East","6/374 Lygon St",2,"u",621000,"S","hockingstuart","22/05/2016",4.5,3057,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"11110","Brunswick East","3/164 Nicholson St",3,"h",940000,"SP","Nelson","22/08/2016",4.5,3057,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"11111","Brunswick East","14 Hutchinson St",3,"h",998000,"S","Nelson","23/04/2016",4.5,3057,3,1,2,104,118,2000,"Moreland",-37.7723,144.9761
"11113","Brunswick East","6a Deakin St",2,"t",985000,"S","Jellis","24/09/2016",4.5,3057,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"11114","Brunswick East","5 John St",3,"h",910000,"S","Jellis","24/09/2016",4.5,3057,2,1,1,231,146.861538586252,1900,"Moreland",-37.7759,144.976
